# Generated from Wikidata person and family-name labels for selected scholarly occupations.
# name\tkind\tWikidata entity
Aaronson	family	Q4054157
Aars	family	Q2261822
Aarseth	family	Q116255691
Aarstad	family	Q112413011
Aart Anne de Jong	label	Q2605334
Aart Blokhuis	label	Q95302517
Aart de Zeeuw	label	Q30074721
Aart Drewes	label	Q102214566
Aart Johannes Stam	label	Q21551846
Aart Kraay	label	Q41801854
Aart Leemhuis	label	Q62518001
Aart Middeldorp	label	Q96945558
Aart Verhoef	label	Q130765807
Aarti Gupta	label	Q120437239
Aarti Singh	label	Q103171525
Aarts	family	Q22683145
Aarum	family	Q4566522
Aarão Leal de Carvalho Reis	label	Q15631732
Aas	family	Q16403144
Aasa Feragen	label	Q47502345
Aasa Maamägi	label	Q134719347
Aasdalen	family	Q17114282
Aase	family	Q17114290
Aase Lionæs	label	Q4216656
Aasheim	family	Q695848
Aashish Clerk	label	Q59676242
Aashish Kumar Bohre	label	Q121493937
Aashish Sapkota	label	Q57054998
Aasland	family	Q132128947
Aasma	family	Q12362571
Aasman	family	Q22276676
Aasmund Sveinung Sudbø	label	Q11956757
Aasmäe	family	Q134982768
Aasted	family	Q138601477
Aastha Sobti	label	Q124618904
Aatos Lahtinen	label	Q6672862
Aatto Kaljunen	label	Q6672826
Aavakivi	family	Q134520623
Aaviksoo	family	Q253515
Aavo Kimmel	label	Q16324025
Aavo Kuslapuu	label	Q12358157
Aavo Otsar	label	Q16407970
Aavo Sirk	label	Q12358161
Ab Mishe	label	Q16266916
Ab van Langevelde	label	Q113398320
Aba Andam	label	Q18340364
Aba Teleki	label	Q95168603
Abad	family	Q11684808
Abada	family	Q103355605
Abadi	family	Q102402235
Abadie	family	Q99436472
Abadir	family	Q99436481
Abadía	family	Q3288702
Abah	family	Q62059318
Abakanowicz	family	Q2483013
Abakar	family	Q65126898
Abakumov	family	Q12075595
Abalkin	family	Q523682
Abalı	family	Q57443374
Abanibhushan Chattopadhyay	label	Q61080509
Abanto	family	Q84785196
Abascal	family	Q61238500
Abashev	family	Q4054355
Abashidze	family	Q134269176
Abasov	family	Q4054337
Abassi	family	Q53015850
Abasət İsayev	label	Q12835297
Abatangelo	family	Q103090322
Abate	family	Q102435351
Abate Mammo	label	Q103103720
Abati	family	Q133856937
Abauzit	family	Q688658
Abay	family	Q58216476
Abay G. Asfaw	label	Q90651448
Abay Kunanbaiuly	label	Q304890
Abayev	family	Q16369182
Abayomi Adelaja Arigbabu	label	Q102344040
Abazari	family	Q84889485
Abba Glauberman	label	Q17371716
Abba Gumel	label	Q19664934
Abba M. Krieger	label	Q102252457
Abba Mari	label	Q2747857
Abba Mari ben Eligdor	label	Q4663651
Abba P. Lerner	label	Q305781
Abba Verbeck Newton	label	Q102150195
Abbad ibn Bishr	label	Q2736757
Abbadessa	family	Q104622070
Abbadia	family	Q370987
Abbafati	family	Q109876420
Abbagnano	family	Q315251
Abbas	family	Q102260846
Abbas Abbasov	label	Q16364057
Abbas Akhoundi	label	Q5908618
Abbas Anvari	label	Q4663730
Abbas Arabmazar	label	Q103273414
Abbas Arghavani	label	Q117304203
Abbas Bahri	label	Q305866
Abbas Edalat	label	Q4663742
Abbas El Gamal	label	Q4663743
Abbas el-Akkad	label	Q305962
Abbas Firoozabadi	label	Q112498411
Abbas Jafarzadeh	label	Q102293632
Abbas Khider	label	Q305907
Abbas Mirakhor	label	Q4663773
Abbas Misgərli	label	Q55201846
Abbas Mousavian	label	Q96479811
Abbas Rajabifard	label	Q15091176
Abbas Ridha	label	Q102199569
Abbas Salemi	label	Q102178174
Abbas Siddiqui	label	Q102971591
Abbas Strømmen-Bakhtiar	label	Q124643996
Abbas Valadkhani	label	Q30075983
Abbas Zaidi	label	Q103148028
Abbasgulu Bakikhanov	label	Q1995066
Abbasi	family	Q102249178
Abbaslı	family	Q12849265
Abbasov	family	Q12839001
Abbasqulu Abbaszadə	label	Q55200673
Abbassi	family	Q101411574
Abbasəli Abbasəliyev	label	Q16364113
Abbate	family	Q106624386
Abbati	family	Q123990664
Abbaucas	label	Q2820264
Abbe	family	Q102340072
Abbe Mowshowitz	label	Q4663921
Abbes	family	Q61919485
Abbey	family	Q60777736
Abbey G. Smets	label	Q131746288
Abbi Mamo Kedir	label	Q130777735
Abbie Griffin	label	Q112563364
Abbing	family	Q2162089
Abbo of Fleury	label	Q306658
Abbondandolo	family	Q102292936
Abbondio Collina	label	Q122230741
Abbos Aliev	label	Q13200820
Abbot	family	Q3513783
Abbott	family	Q102265177
Abbott Payson Usher	label	Q306771
Abboud	family	Q102207131
Abbrescia	family	Q68676927
Abbri	family	Q22920213
Abbt	family	Q25816679
Abby Flynt	label	Q102410970
Abby Joseph Cohen	label	Q2820845
Abby Stylianou	label	Q103055045
Abbà	family	Q53552056
Abbáz Dogíevich Osmáev	label	Q28500248
Abbès	family	Q47004812
Abbé	family	Q102340072
Abbé de La Roche	label	Q16506778
Abbé de Vallemont	label	Q2820886
Abbé Deidier	label	Q64759703
Abbé Faria	label	Q306914
Abd al rahmān ibn Muḥammad ibn abd al lāh Al Anṣārī	label	Q85202145
Abd al-Hamid Ibrahimi	label	Q307892
Abd al-Hamid Madkour	label	Q12224149
Abd al-Hasan Zalzala	label	Q64865405
Abd al-Ilah Hafiz	label	Q57516025
Abd al-Jabbar ibn Ahmad	label	Q3773706
Abd al-Karim al-Rifai	label	Q12223244
Abd al-Qadir dan Tafa	label	Q120838075
Abd al-Qadir Husriah	label	Q133573204
Abd al-Rahman al-Awza'i	label	Q293669
Abd al-Rahman al-Kawakibi	label	Q2499944
Abd al-Rahman al-Sufi	label	Q11075
Abd al-Rahman ibn Abi Bakr	label	Q1108719
Abd al-Razzaq Lahiji	label	Q3943957
Abd Al-Razzaq Omar Al-Misallati	label	Q114979062
