# Generated from Wikidata person and family-name labels for selected scholarly occupations.
# name\tkind\tWikidata entity
Philipp Koralek	label	Q94692631
Philipp Kranen	label	Q102417747
Philipp Krebs	label	Q95244423
Philipp Küfner	label	Q102416144
Philipp Kürnsteiner	label	Q57418894
Philipp Last	label	Q102702668
Philipp Lenard	label	Q57063
Philipp Lengsfeld	label	Q15439343
Philipp Lepenies	label	Q75483750
Philipp Lersch	label	Q1170070
Philipp Liedl	label	Q95341806
Philipp Lodomez	label	Q139519421
Philipp Lohmeier	label	Q19298537
Philipp Lotmar	label	Q52150180
Philipp Lucas	label	Q102355359
Philipp Ludwig von Seidel	label	Q464
Philipp Lötzbeyer	label	Q102914416
Philipp M. Richter	label	Q131691790
Philipp Mainländer	label	Q76177
Philipp Mann	label	Q63968015
Philipp Mayer	label	Q112438703
Philipp Meier	label	Q102578373
Philipp Melanchthon	label	Q76325
Philipp Metzner	label	Q102318958
Philipp Michael Brauner	label	Q131692536
Philipp Michel	label	Q102349559
Philipp Monreal	label	Q130785048
Philipp Morgenstern	label	Q57415287
Philipp Moritz	label	Q103364869
Philipp Muenzner	label	Q89519000
Philipp Müller	label	Q109091
Philipp Neudecker	label	Q30169549
Philipp Nicodemus Frischlin	label	Q72975
Philipp Nicolas Depta	label	Q90494785
Philipp Niemann	label	Q102617795
Philipp of Medma	label	Q20000284
Philipp Osl	label	Q130775517
Philipp Otto	label	Q103045722
Philipp Plänitz	label	Q112497564
Philipp Pohl	label	Q112422614
Philipp Reinecke	label	Q102663861
Philipp Renner	label	Q102410933
Philipp Rieger	label	Q1478227
Philipp Robinson Rössner	label	Q28955609
Philipp Rohde	label	Q102290355
Philipp Rosemann	label	Q52104904
Philipp Rothmaler	label	Q102182811
Philipp Rovedo	label	Q98193782
Philipp Ruch	label	Q18524248
Philipp Ruchti	label	Q103175189
Philipp Rudolf Öffner	label	Q102433397
Philipp Ruhig	label	Q7184693
Philipp Rutberg	label	Q59451896
Philipp Rösch	label	Q102760844
Philipp Sadowski	label	Q96885213
Philipp Sandner	label	Q51078199
Philipp Sapozhnikov	label	Q27908302
Philipp Sauer	label	Q135969854
Philipp Schaer	label	Q77096134
Philipp Schaible	label	Q102967984
Philipp Schautschick	label	Q103388280
Philipp Scherbe	label	Q1747950
Philipp Schliffke	label	Q103212864
Philipp Schmidt-Dengler	label	Q105187538
Philipp Schmitz	label	Q112359276
Philipp Schneider	label	Q126594403
Philipp Schreck	label	Q95328143
Philipp Schreiner	label	Q1390992
Philipp Schröder	label	Q29640410
Philipp Schuetz	label	Q61260811
Philipp Schwab	label	Q130769754
Philipp Schwegler	label	Q113815001
Philipp Schöbi	label	Q95280948
Philipp Sebastian Ott	label	Q113163963
Philipp Skandera	label	Q102535570
Philipp Slusallek	label	Q20243272
Philipp Sonntag	label	Q2087223
Philipp Sorg	label	Q64852404
Philipp Spiller	label	Q19223687
Philipp Steinmayer	label	Q55673452
Philipp Stolka	label	Q102708094
Philipp Strack	label	Q104457802
Philipp Stroh	label	Q61483361
Philipp Sälhoff	label	Q79669649
Philipp Theiler	label	Q130779337
Philipp Treutlein	label	Q51527477
Philipp Tögel	label	Q126692130
Philipp Ullmann	label	Q102916209
Philipp V Demekhin	label	Q64886421
Philipp Valerius	label	Q89151613
Philipp Vanscheidt	label	Q126592295
Philipp Victor Gumposch	label	Q55123128
Philipp von Arnim	label	Q55901631
Philipp von Boeselager	label	Q60838
Philipp von Hörnigk	label	Q477492
Philipp von Jolly	label	Q65207
Philipp W. Kutter	label	Q102314083
Philipp Wacker	label	Q102520458
Philipp Weigell	label	Q113989560
Philipp Weinschenk	label	Q102679209
Philipp Wendler	label	Q103166747
Philipp Werner	label	Q112506746
Philipp Wieder	label	Q61758208
Philipp Witkop	label	Q2087325
Philipp Wüschner	label	Q113810671
Philipp Zeisold	label	Q55901912
Philipp Zumstein	label	Q54857288
Philippa Browning	label	Q56640475
Philippa Fawcett	label	Q450366
Philippa Foot	label	Q297493
Philippa Gardner	label	Q22277894
Philippa Whitehouse	label	Q140192197
Philippas Tsigas	label	Q58621996
Philippe	family	Q112545872
Philippe Abjean	label	Q15973141
Philippe Adam	label	Q3379197
Philippe Aghion	label	Q376364
Philippe Aigrain	label	Q1662274
Philippe Askenazy	label	Q3379245
Philippe Athanase Cucheval-Clarigny	label	Q2868977
Philippe Audegean	label	Q114397751
Philippe Aydalot	label	Q55771111
Philippe B. Wilson	label	Q112277987
Philippe Bacchetta	label	Q30069441
Philippe Bance	label	Q130776862
Philippe Baptiste	label	Q106287381
Philippe Barbey	label	Q100968226
Philippe Barla	label	Q84033394
Philippe Barrie Wilson	label	Q58487003
Philippe Batifoulier	label	Q55620262
Philippe Bechouche	label	Q102229813
Philippe Beck	label	Q505107
Philippe Bekaert	label	Q121079709
Philippe Benhamou	label	Q3379323
Philippe Biane	label	Q979240
Philippe Blanchard	label	Q7184775
Philippe Blondel	label	Q58429198
Philippe Bobichon	label	Q55949430
Philippe Boch	label	Q112427428
Philippe Boisse	label	Q58662001
Philippe Bordron	label	Q102401564
Philippe Boula de Mareüil	label	Q65409185
Philippe Boulanger	label	Q3379406
Philippe Bouyer	label	Q56761427
Philippe Briand	label	Q102391438
Philippe Bénilan	label	Q102124576
Philippe Büttgen	label	Q93234579
Philippe C Cattin	label	Q88519374
Philippe C. Becker	label	Q116786335
Philippe C. Besse	label	Q102165030
Philippe Cabestan	label	Q30752170
Philippe Cahuzac	label	Q131726662
Philippe Caldero	label	Q102350074
Philippe Capelle	label	Q3379501
Philippe Capéraà	label	Q98382443
Philippe Cardin	label	Q59463548
Philippe Cassette	label	Q50208872
Philippe Cassou-Noguès	label	Q15078819
Philippe Castillon	label	Q102229957
Philippe Cattoir	label	Q130779154
Philippe Chalmin	label	Q3379539
Philippe Chevallier	label	Q3379579
Philippe Chomaz	label	Q3379585
Philippe Choné	label	Q33102619
Philippe Choquard	label	Q102229834
Philippe Christol	label	Q124799569
Philippe Christophe Faucon	label	Q102697778
Philippe Chrétien Rang	label	Q132660723
Philippe Ciais	label	Q33142437
Philippe Codognet	label	Q108052206
Philippe Cordier	label	Q93504332
Philippe Cortey-Dumont	label	Q102258000
Philippe Coueignoux	label	Q46407331
Philippe Courrège	label	Q41703618
Philippe Cudré-Mauroux	label	Q15840423
Philippe Cyrenne	label	Q57418082
Philippe d'Auvergne	label	Q3380899
Philippe d'Iribarne	label	Q2384852
Philippe De Brouwer	label	Q27517354
Philippe De Donder	label	Q30074684
Philippe de Forcrand	label	Q102941525
Philippe de La Hire	label	Q371890
Philippe de Lombaerde	label	Q112435511
Philippe de Mornay	label	Q944098
Philippe de Rouilhan	label	Q3380996
Philippe de Vitry	label	Q311766
Philippe De Wilde	label	Q73779587
Philippe De Woot	label	Q63953076
Philippe Defeyt	label	Q3379701
philippe delacote	label	Q58238784
Philippe Delanoë	label	Q102277441
Philippe Delhaye	label	Q42294379
Philippe Delmas	label	Q3379712
Philippe Delsarte	label	Q72903380
Philippe Denoyelle	label	Q40244970
Philippe Descamps	label	Q3379729
Philippe Despoix	label	Q95222829
Philippe Després	label	Q56999659
Philippe Dessertine	label	Q3379732
Philippe Deterre	label	Q92547279
Philippe Devaux	label	Q3379739
Philippe Devienne	label	Q124028788
Philippe DeVille	label	Q15126842
Philippe Di Francesco	label	Q30323400
Philippe Donnay	label	Q109120735
Philippe Dreyfus	label	Q2755388
Philippe Du Trieu	label	Q98835971
Philippe Ducat	label	Q51273304
Philippe Dulbecco	label	Q33266527
Philippe Durance	label	Q3379788
Philippe E. Spiess	label	Q98564972
Philippe Eichenberger	label	Q102369012
Philippe Englebert	label	Q122223022
Philippe Eric Deprez	label	Q102711064
Philippe Eyssidieux	label	Q102257591
Philippe Flajolet	label	Q92695
Philippe Fleury	label	Q40459352
Philippe Fontaine	label	Q112450018
Philippe Foray	label	Q93228771
Philippe Fortin de la Hoguette	label	Q3379840
Philippe François Xavier Théodose Heuschling	label	Q94872297
Philippe Fromenteau	label	Q102776234
Philippe G. Ciarlet	label	Q117163
Philippe Gaborit	label	Q102270490
Philippe Gagnon	label	Q58145702
Philippe Galez	label	Q113247209
Philippe Gaudin	label	Q62026509
Philippe Gautier	label	Q7184820
Philippe Geniez	label	Q6074291
Philippe Genêt	label	Q115624627
Philippe Gerard LeFloch	label	Q102080075
Philippe Gille	label	Q102270461
Philippe Gillen	label	Q132698769
Philippe Goy	label	Q3379947
Philippe Granarolo	label	Q51274585
Philippe Grangier	label	Q746858
Philippe Gras	label	Q64861078
Philippe Grelu	label	Q51107110
Philippe Grenier	label	Q89570543
Philippe Grosos	label	Q89589347
Philippe Gudin	label	Q124069509
Philippe Guillemant	label	Q64024361
Philippe Gustave le Doulcet, Comte de Pontécoulant	label	Q3379988
Philippe Hamou	label	Q85225108
Philippe Hannotel	label	Q104251283
Philippe Henne	label	Q55999296
Philippe Herlin	label	Q47468361
Philippe Houdy	label	Q112429756
Philippe Hugon	label	Q33139479
Philippe Humbert	label	Q102404420
Philippe Huneman	label	Q46818205
Philippe Irigaray	label	Q62565072
Philippe Jean	label	Q133344125
Philippe Jean-Marie Naveau	label	Q102194333
Philippe Jetzer	label	Q130768263
Philippe Jorion	label	Q20684272
Philippe Jorrand	label	Q102120074
Philippe Jougleux	label	Q112550024
Philippe Julien	label	Q110089798
Philippe Jullien	label	Q67206628
Philippe Jéhiel	label	Q30069208
Philippe Kaeppelin	label	Q131375605
Philippe Kahn	label	Q1373386
Philippe Keckhut	label	Q114771568
Philippe Korda	label	Q3380104
Philippe Kruchten	label	Q92887
Philippe Labarde	label	Q3380111
Philippe Lacoue-Labarthe	label	Q1333153
Philippe Lallemand	label	Q123508719
Philippe Lamour	label	Q3380137
Philippe Langevin	label	Q102348379
Philippe Laurençot	label	Q102427545
Philippe Lazar	label	Q3380163
Philippe Lazzarini	label	Q16731317
Philippe Le Corbeiller	label	Q7184848
Philippe Le Houérou	label	Q21034042
Philippe Legrain	label	Q7184851
Philippe Lehert	label	Q88582356
Philippe Louis Gérard	label	Q60151324
Philippe Lynes	label	Q112530869
Philippe Légé	label	Q124038453
Philippe Mahenc	label	Q124238896
Philippe Malbos	label	Q93944821
Philippe Mallet	label	Q20241045
Philippe Malrieu	label	Q3380293
Philippe Martin	label	Q3380336
Philippe Mathieu	label	Q102389663
Philippe Maurice Tondeur	label	Q15444540
Philippe Mehaut	label	Q55624394
Philippe Mengue	label	Q3380361
Philippe Meunier	label	Q102313422
Philippe Meurdesoif	label	Q41341978
Philippe Meyer	label	Q3380375
Philippe Michel	label	Q102572113
Philippe Michelon	label	Q102266537
Philippe Minguet	label	Q3380391
Philippe Mongin	label	Q3380399
Philippe Monod	label	Q3380404
Philippe Murer	label	Q16669765
Philippe Müller	label	Q63967464
Philippe Nasse	label	Q16320624
Philippe Nassif	label	Q16669769
Philippe Naszályi	label	Q16269393
Philippe Naudé l'Ancien	label	Q3380442
Philippe Naudé le Jeune	label	Q3380444
Philippe Nemo	label	Q2087685
Philippe Nozières	label	Q1391816
Philippe Nys	label	Q3380464
Philippe Olmer	label	Q3380471
Philippe Oswald	label	Q124488451
Philippe Palanque	label	Q112396200
Philippe Pierre Souplet	label	Q102175655
Philippe Pijollet	label	Q27862107
Philippe Plantamour	label	Q55894156
Philippe Quirion	label	Q30075640
Philippe Quéau	label	Q3380584
Philippe Rabasse	label	Q33110095
Philippe Rahm	label	Q3380595
Philippe Raimbourg	label	Q3380591
Philippe Renaud	label	Q92527590
Philippe Revoy	label	Q57663329
Philippe Riviale	label	Q112056728
Philippe Robba	label	Q15454647
Philippe Rousseau	label	Q50383280
Philippe Roussel	label	Q3380671
Philippe Rouzier	label	Q100151821
Philippe Rukimbira	label	Q12895385
Philippe Saint-Marc	label	Q33113533
Philippe Saltel	label	Q3380684
Philippe Schaefer	label	Q47814686
Philippe Schiltknecht	label	Q102330716
Philippe Schlenker	label	Q33110612
Philippe Schmitt-Kopplin	label	Q61740890
Philippe Schnoebelen	label	Q102230238
Philippe Sergeant	label	Q73383891
Philippe Sers	label	Q3380721
Philippe Simay	label	Q46998084
Philippe Simonnot	label	Q3380730
Philippe Sollers	label	Q324944
Philippe Soual	label	Q58577632
Philippe Soulez	label	Q3380741
Philippe Soulier	label	Q102431546
Philippe St-Germain	label	Q55721876
Philippe Suter	label	Q102407861
Philippe Tancelin	label	Q3380755
Philippe Tchamitchian	label	Q29000359
Philippe Thalmann	label	Q55628615
Philippe Thomas	label	Q103330818
Philippe Tillet	label	Q118176317
Philippe Toint	label	Q57557712
Philippe Van Kerm	label	Q41801281
Philippe Van Parijs	label	Q1345191
Philippe Vayringe	label	Q3021503
Philippe Verstraten	label	Q130767614
Philippe Vieu	label	Q102169656
Philippe Villers	label	Q3380867
Philippe Vincent	label	Q102293387
Philippe Vincke	label	Q3380863
Philippe Waechter	label	Q60118703
Philippe Weil	label	Q30070395
Philippe Wittmann	label	Q130774868
Philippe Édouard Léon Van Tieghem	label	Q2421500
Philippe-Alain Michaud	label	Q29121896
Philippe-Joseph Salazar	label	Q2394646
Philippi	family	Q112458039
Philippin	family	Q101559890
Philippon	family	Q102230202
Philipponnat	family	Q42323805
Philippos Iōannu	label	Q55911835
Philippos Papadakis	label	Q53996975
Philippos Sachinidis	label	Q1414062
Philipps	family	Q41469360
Philippsen	family	Q102696715
Philippus Elephantis	label	Q2890482
Philippus of Mende	label	Q15972214
Philippus of Opus	label	Q555818
Philips	family	Q16403251
Philips Jusario Vermonte	label	Q17410927
Philipse	family	Q1610324
Philipsen	family	Q112498265
Philipson	family	Q7818305
Philiscus	label	Q1234862
Philiscus of Aegina	label	Q552862
Philiswa N. Nomngongo	label	Q46524148
Phillies	family	Q74468672
Phillip A. Sellars	label	Q96337296
Phillip A. Sprangle	label	Q15303111
Phillip Alan Hartman	label	Q102135200
Phillip Anthony O’Hara	label	Q32338539
Phillip Arthur Ostrand	label	Q102164164
Phillip B. Levine	label	Q30070437
Phillip Barbeau	label	Q88679882
Phillip Barnes	label	Q105243619
Phillip Blond	label	Q2701399
Phillip Cary	label	Q7185642
Phillip D. Cagan	label	Q434348
Phillip D. Cummins	label	Q122828812
Phillip Duxbury	label	Q138857261
Phillip E. Johnson	label	Q726924
Phillip Edward Bedient	label	Q102147018
Phillip Edward Garrison	label	Q102331206
Phillip Edward Murray	label	Q131284063
Phillip F Blaauw	label	Q92853392
Phillip F. Fanchon	label	Q99352704
Phillip G. Clampitt	label	Q93244327
Phillip Gibbons	label	Q29349110
Phillip Good	label	Q7185684
Phillip Griffith	label	Q7185685
Phillip Griffiths	label	Q1385013
Phillip H. Wiebe	label	Q7185687
Phillip Höchstetter	label	Q55852405
Phillip Isola	label	Q113644175
Phillip Law	label	Q2088038
Phillip Lawrence Wilson	label	Q126487868
Phillip Lipscy	label	Q59752195
Phillip Longman	label	Q7185738
Phillip Lord	label	Q37373810
Phillip McCalman	label	Q30084956
Phillip Merkey	label	Q102146255
Phillip Mitsis	label	Q66603527
Phillip Nelson	label	Q7184136
Phillip Porras	label	Q16734637
Phillip Rieder	label	Q59923805
Phillip Rogaway	label	Q7185796
Phillip Schultz	label	Q102179533
Phillip Ströbel	label	Q126692153
Phillip Swagel	label	Q15647353
Phillipp Kügler	label	Q112438691
Phillipp Lergetporer	label	Q112544531
Phillipp Saure	label	Q113846578
Phillippa (Pippa) Scott Wells	label	Q138658291
Phillippa Scott Wells	label	Q57612653
Phillips	family	Q102114383
Phillips Foster Greene	label	Q22073813
Phillipson	family	Q112427685
Philo	label	Q138722809
Philo of Alexandria	label	Q189597
Philo of Byzantium	label	Q28692695
Philo of Larissa	label	Q365110
Philo the Dialectician	label	Q1366567
Philodemus	label	Q451550
Philolaus	label	Q212338
Philon of Gadara	label	Q3381179
Philonides of Laodicea	label	Q9259819
Philonides of Thebes	label	Q138723868
Philopator	label	Q112144116
Philosoraptor	label	Q116280011
Philostratus	label	Q2274948
Philostratus the Egyptian	label	Q11922082
Philp	family	Q6769257
Philsang Yoo	label	Q102839827
Philémon Kottis	label	Q121481398
Phineas P. Catorkian	label	Q18808379
Phineas Quimby	label	Q1465045
Phintys	label	Q433919
Phipps	family	Q112476572
Phipps Arabie	label	Q107488358
Phipson	family	Q37147260
Phiwa Nkambule	label	Q21580140
Phoebe Koundouri	label	Q29570237
Phoebe Lostroh	label	Q78816835
Phoebe Sengers	label	Q102215286
Phoebe Stewart-Sinclair	label	Q91791836
Phoebus Dhrymes	label	Q19975788
Phoebus Levene	label	Q902182
Phoenix	family	Q21150619
Phokion Kolaitis	label	Q62560059
Phong Nguyen	label	Q3381417
Phoolan Prasad	label	Q16106766
Phormion of Ephesus	label	Q1235071
Photidas	label	Q138771346
Photios Aristoteles Anninos	label	Q102210634
Photios I of Constantinople	label	Q243187
Photis Dais	label	Q131296903
Photis Papademas	label	Q67249864
Phu Nguyen-Van	label	Q100483879
Phuc Luu	label	Q111730883
Phuntsok	family	Q48039493
Phuong Cao	label	Q137374946
Phuong Le	label	Q103342530
Phuong Mai Dinh	label	Q112485201
Phuong Thanh Nguyen	label	Q102753123
Phuong The Nguyen	label	Q102356730
Phyllis Ackerman	label	Q3381850
Phyllis Ann Rooney	label	Q102184838
Phyllis Ann Wallace	label	Q18388400
Phyllis Bolds	label	Q62606888
Phyllis Chinn	label	Q18921538
Phyllis Deane	label	Q7188545
Phyllis Fox	label	Q11590
Phyllis Illari	label	Q57053080
Phyllis Nicolson	label	Q450388
Phyllis Panman	label	Q124640743
Phyllis Ross	label	Q7188621
Phyllis S. Freier	label	Q4511479
Phyllis Stabeno	label	Q109827512
Phyllis Stern	label	Q18330782
Phyllis Summers	label	Q3381869
Physicians and Scientists of Upstate New York	label	Q7189664
physicist	family	Q18539683
Phạm	family	Q114680393
Phạm Chi Lan	label	Q6580709
Phạm Kim Ngọc	label	Q114680393
Phạm Thị Trân Châu	label	Q10807036
Phạm Vũ Luận	label	Q10807090
Pi	family	Q112471093
Pi Jiancai	label	Q130240240
Pi Zongshi	label	Q19861210
Pi-Erh Lin	label	Q137794075
Pi-Han Tsai	label	Q103297779
Pi-Sunyer	family	Q17300805
Pia	family	Q112536873
Pia Andronescu	label	Q94735088
Pia Antonia Weinmann	label	Q130800210
Pia Bräuer	label	Q95195750
Pia Geißel	label	Q126692132
Pia Henning	label	Q126692150
Pia Jensen Ray	label	Q113040130
Pia Kempis	label	Q130800295
Pia Lauritzen	label	Q12331839
Pia M. Orrenius	label	Q112539833
Pia Maarit Vuorela	label	Q112563311
Pia Malaney	label	Q21559051
Pia Mareike Steenweg	label	Q90355810
Pia Nalli	label	Q946772
Pia Olsson	label	Q63092808
Pia Orrenius	label	Q29570888
Pia Rosa Pfluger	label	Q102234595
Pia Serinyana Torrents	label	Q64686750
Piacentini	family	Q41169238
Piacquadio	family	Q88882610
Piaget	family	Q123190
Piama Gaidenko	label	Q4131970
Piana	family	Q3767933
Pianalto	family	Q7416735
Pianigiani	family	Q140317264
Piano	family	Q112580250
Pianta	family	Q137731522
Piara Singh Gill	label	Q7190235
Piasecka	family	Q102339922
Piasecki	family	Q102290452
Piasek	family	Q124812262
Piasny	family	Q11720395
Piat	family	Q16022591
Piatier	family	Q52724243
Piatkowski	family	Q112402285
Piatnytskyi	family	Q12145783
Piatro Hliebka	label	Q2579684
Piazza	family	Q107785496
Piazzesi	family	Q132473591
Piazzi	family	Q14280
Piazzolla	family	Q3846922
Pibernat	family	Q64495550
Pic	family	Q37737085
Pica	family	Q114422531
Picado	family	Q112490189
Picard	family	Q112446098
Picardello	family	Q21543502
Picardi	family	Q130823059
Picart	family	Q28916704
Picasso	family	Q114278770
Picault	family	Q103158282
Picavet	family	Q3085558
Picazo	family	Q30084877
Picca	family	Q95763395
Piccaluga	family	Q112393063
Piccard	family	Q21055959
Piccardi	family	Q50822688
Piccari	family	Q107192182
Picchi	family	Q107362850
Picchini	family	Q47503463
Picci	family	Q130773685
Picciati	family	Q15812368
Piccinato	family	Q102404753
Piccinini	family	Q102087726
Piccinni	family	Q102404245
Piccioli	family	Q108920218
Piccione	family	Q107417817
Piccioni	family	Q130343493
Picciotto	family	Q130765291
Piccirilli	family	Q103148450
Piccoli	family	Q96246641
Piccolo	family	Q112684430
Piccolomini	family	Q21051990
Piccolotto	family	Q125269182
Piccone	family	Q7152955
Picek	family	Q95114109
Picella	family	Q112582438
Pich	family	Q112496468
Pichaet Wiriyachitra	label	Q7190615
Pichardo	family	Q130164732
Pichaud	family	Q102414090
Pichel	family	Q113578328
Pichler	family	Q102344928
Pichon	family	Q102112201
Picht	family	Q1505636
Piché	family	Q83962954
Pick	family	Q14806417
Pick Temple	label	Q7190703
Pickard	family	Q1544764
Pickel	family	Q1657499
Pickenhain	family	Q53262545
Pickering	family	Q2447874
Pickert	family	Q1560900
Pickett	family	Q17675463
Pickford	family	Q103169553
Pickhan	family	Q130793857
Pickhardt	family	Q40795591
Pickl	family	Q62469917
Pickle	family	Q102214071
Pickles	family	Q18527812
Pico	family	Q117288310
Picon	family	Q19958493
Picone	family	Q1862580
Picot	family	Q102343304
Picqué	family	Q59821756
Pictet	family	Q116754
Picton	family	Q6128609
Pictorius	family	Q97464
Piddington	family	Q20988981
Pidgeon	family	Q66750879
Pidgin	family	Q21984025
Pido Nadibaidze	label	Q130387990
Pidoll	family	Q102229241
Pidpala Iryna	label	Q131290328
Pidstryhach Yaroslav Stepanovych	label	Q12146118
Pie-Claude Ngumu	label	Q73669301
Piec	family	Q114064548
Piech	family	Q117225393
Piechnik	family	Q113794765
Piechocki	family	Q9250491
Piechota	family	Q11731135
Piechowiak	family	Q11768380
Piechowicz	family	Q123249088
Piechór	family	Q25898188
Pieczyrak	family	Q61469340
Piedad Bonnett	label	Q291222
Piedad Brox	label	Q84859616
Piedad de la Cierva	label	Q28381389
Piednoir	family	Q105542155
Piefke	family	Q102171598
Piegaia	family	Q79252302
Piegat	family	Q114456262
Piegsa	family	Q111729346
Piehl	family	Q30031359
Piejko	family	Q102355353
Piek Vossen	label	Q7191588
Piekarczyk	family	Q48862830
Piekarski	family	Q4348083
Piekarz	family	Q115776636
Piekałkiewicz	family	Q6149717
Piekkola	family	Q26257095
Piekut	family	Q9201721
Piel	family	Q112369037
Piela	family	Q111419035
Pielaszkiewicz	family	Q102440058
Pielichaty	family	Q123035305
Pielichowski	family	Q102234298
Piella	family	Q63390150
Piemonte	family	Q21070957
Pienaar	family	Q112453252
Piene	family	Q17106559
Pieniążek	family	Q102234383
Pientka	family	Q102272990
Pieper	family	Q102191217
Pieprzyk	family	Q3184049
Pier	family	Q1557718
Pier Aldo Rovatti	label	Q2092681
Pier Carlo Craighero	label	Q61475043
Pier Carlo Nicola	label	Q112370092
Pier Carlo Padoan	label	Q15768223
Pier Domenico Lamberti	label	Q102248021
Pier Fernando Giorgetti	label	Q95339592
Pier Francesco Asso	label	Q61472343
Pier Francesco Casaretto	label	Q63292885
Pier Francesco Peggi	label	Q111840325
Pier Giorgio Merli	label	Q3902879
Pier Giorgio Perotto	label	Q3902881
Pier Giorgio Rancoita	label	Q61515779
Pier Giovanni Bissiri	label	Q88754782
Pier Luca Lanzi	label	Q105651257
Pier Luigi Ferrari	label	Q112569320
Pier Luigi Fornari	label	Q113762214
Pier Luigi Novi Inverardi	label	Q102169715
Pier Luigi Papini	label	Q95316998
Pier Luigi Parcu	label	Q112343444
Pier Luigi Pollini	label	Q108685740
Pier Luigi Porta	label	Q59628165
Pier Luigi Sacco	label	Q3902910
Pier Matteo Barone	label	Q89458635
Pier Nicola Sergi	label	Q56950835
Pier Paolo Abbati Marescotti	label	Q123990664
Pier Paolo La Pastina	label	Q102109621
Pier Paolo Ottonello	label	Q17285230
Pier Paolo Portinaro	label	Q3902946
Pier Paolo Ruffinengo	label	Q93225198
Pier Paolo Saviotti	label	Q41804556
Pier Paolo Vergerio the Elder	label	Q737756
Pier Stanislao Paolucci	label	Q60161992
Pier Tommaso Campana	label	Q54888352
Pier Vincenzo De Luca	label	Q55227001
Piera	family	Q57884927
Piera Bellelli	label	Q112163376
Pieraccini	family	Q7351848
Pieralisi	family	Q4009480
Pierangela Samarati	label	Q29472897
Pierangelo Dacrema	label	Q114763526
Pierangelo Garegnani	label	Q1746797
Pierangelo Marcati	label	Q3902979
Pierangelo Miglioli	label	Q102343552
Pierangelo Rosati	label	Q90053946
Pierantoni	family	Q17590111
Pierantonio Rustico	label	Q131177033
Piercarlo Ceccarelli	label	Q3902994
Piercarlo Ravazzi	label	Q17266138
Pierce	family	Q102185571
Pierce Waddell Ketchum	label	Q102129062
Piercesare Secchi	label	Q58467813
Piercey	family	Q112451778
Piercy Ravenstone	label	Q7191870
Pierdaniele Giaretta	label	Q93221115
Pierella Paci	label	Q112416238
Pieretti	family	Q88460214
Pierfausto Seneci	label	Q45359721
Pierfrancesco Basile	label	Q93233488
Pierfrancesco Fiorato	label	Q113830378
Pierfrancesco La Mura	label	Q102250388
Pierfrancesco Stagi	label	Q55832682
Pierfrancesco Urbani	label	Q108807488
Piergiorgio Della Pelle	label	Q93246153
Piergiorgio Donatelli	label	Q27835105
Piergiorgio Grassi	label	Q93238789
Piergiorgio Odifreddi	label	Q929145
Piergiorgio Valente	label	Q112565601
Piergiulio Lenzi	label	Q53466331
Piergiulio Tempesta	label	Q56631296
Piergiuseppe Bernardi	label	Q109432679
Piergiuseppe Morone	label	Q56999298
Pieri	family	Q983389
Pierini	family	Q1892751
Pierius	label	Q2335606
Pierleone Leoni	label	Q3903068
Pierluigi Ascani	label	Q109703253
Pierluigi Balduzzi	label	Q41805023
Pierluigi Benevieri	label	Q102396397
Pierluigi Bruzzone	label	Q109561021
Pierluigi Campana	label	Q56701808
Pierluigi Catalfo	label	Q110246948
Pierluigi Catastini	label	Q98370264
Pierluigi Cesana	label	Q102088678
Pierluigi Ciocca	label	Q3903094
Pierluigi Collina	label	Q485885
Pierluigi Contucci	label	Q57315027
Pierluigi Conzo	label	Q57603149
Pierluigi Crescenzi	label	Q7191900
Pierluigi Del Nostro	label	Q102408040
Pierluigi Falco	label	Q102366446
Pierluigi Fortini	label	Q102609562
Pierluigi Maponi	label	Q124542222
Pierluigi Moseneder Frajria	label	Q102149575
Pierluigi Nuzzo	label	Q103364274
Pierluigi Piersimoni	label	Q102050139
Pierluigi Valenza	label	Q112507969
Piermarco Cannarsa	label	Q3903140
Piermichele Rizzo	label	Q112603559
Piernas	family	Q21789909
Piernicola Bettiol	label	Q102945856
Piero Antonio Carnemolla	label	Q116120453
Piero Attanasio	label	Q61957967
Piero Balestro	label	Q93241578
Piero Barucci	label	Q3903160
Piero Benedetti	label	Q3903163
Piero Bernocchi	label	Q1069808
Piero Bertolini	label	Q3903167
Piero Borgi	label	Q3903185
Piero Caldirola	label	Q3903188
Piero Carducci	label	Q60216171
Piero Cipollone	label	Q123283206
Piero Ciuti	label	Q102414177
Piero Colli Franzone	label	Q102341009
Piero Colonna	label	Q63927917
Piero Coronica	label	Q102439470
Piero D'Ancona	label	Q28064783
Piero De Mottoni	label	Q112388307
Piero della Francesca	label	Q5822
Piero Di Vona	label	Q93241808
Piero Esposito	label	Q126180037
Piero Ferri	label	Q41730877
Piero Ferrucci	label	Q7191909
Piero Fraternali	label	Q130862154
Piero Ghezzi	label	Q15919210
Piero Giordanetti	label	Q93267025
Piero Giorgio Bordoni	label	Q7191911
Piero Gobetti	label	Q532852
Piero Gottardi	label	Q30072934
Piero Mangani	label	Q17490292
Piero Marino	label	Q130779213
Piero Martin	label	Q130792007
Piero Martinetti	label	Q2092904
Piero Morosini	label	Q77998275
Piero Nicolini	label	Q57489494
Piero Pagliani	label	Q109318211
Piero Pasolini	label	Q96236331
Piero Pennetta	label	Q112676020
Piero Roggi	label	Q93232572
Piero Sapienza	label	Q93220980
